League,Revenue,Revenue_per_team
Primera División Argentina,338,17
A-League,63,6.3
Austrian Football Bundesliga,179,17.899999999999999
Azerbaijan Premier League,34,3.4
Belarusian Premier League,41,2.6
Belgian First Division A,383,23.9
Campeonato Brasileiro,1298,64.900000000000006
A Group,40,4
Chilean Primera Division,113,6.3
Chinese Super League,945,59
Categoria Primera A,176,10
Croatian First Football League,42,4.2
Cypriot First Division,60,4.3
Czech First League,74,4.5999999999999996
Danish Superliga,179,12.8
Ecuadorian Serie A,25,2.1
Egyptian Premier League,95,4.7
EFL League One,171,7.1
EFL Championship,842,35.1
EFL League Two,106,4.4000000000000004
UEFA Champions League,2108,65.900000000000006
Veikkausliiga,25,2.1
Ligue 2,219,11
Ligue 1,1692,84.6
2. Bundesliga,608,33.799999999999997
3. Liga,143,7.2
Superleague Greece,118,7.4
Hungary First League,89,7.4
Indian Super League,65,6.5
Israeli Premier League,108,7.7
Serie A,2163,108.2
Serie B,276,12.5
J1 League,860,48
J2 League,262,11.9
J3 League,35,2.9
Kazakhstan Premier League,118,9.8000000000000007
Liga MX,509,28
Eredivisie,505,28.1
Eerste Divisie,61,3.1
Eliteserien,152,9.5
Ekstraklasa,152,9.5
Primeira Liga,431,23.9
Liga I,71,5.0999999999999996
Russian Premier League,813,50.8
Saudi Professional League,254.61,18.2
Scottish Premiership,209,17.399999999999999
Serbian SuperLiga,32,2
Slovak Super Liga,32,2.7
South African Premier Division,111,6.9
K League,509,26
Segunda División,326.8,14.9
Allsvenskan,145,9.1
Swiss Super League,232,23.2
Süper Lig,731,40.6
Ukrainian Premier League,89,6.4
Major League Soccer,851,38.700000000000003
Premier League,6562,328.1
Bundesliga,3810,211.7
Persian Gulf Pro League,29,1.81
La Liga,4479,223.95
